Title,Publisher,TV Format,MD5,Bankswitch Type,7800 Detected,7800 works,7800 plays through,notes
Garfield,Atari ,NTSC,dc13df8420ec69841a7c51e41b9fbba5,F6,,,,
Gas Hog,Spectravideo,NTSC,728152f5ae6fdd0d3a9b88709bee6c7a,4K,,,,
Gauntlet,Answer Software,NTSC,e64a8008812327853877a37befeb6465,4K,,,,
Ghost Manor,Xonox,NTSC,0eecb5f58f55de9db4eedb3a0f6b74a8,4K,,,,
Ghost Manor,Xonox,NTSC,2bee7f226d506c217163bad4ab1768c0,F8,,,,
Ghostbusters II,Salu ,PAL,c2b5c50ccb59816867036d7cf730bf75,F6,,,,
Ghostbusters,Activision,NTSC,e314b42761cd13c03def744b4afc7b1b,F8,,,,
Ghost Manor,Xonox,NTSC,2bee7f226d506c217163bad4ab1768c0,F8,,,,
Gigolo,PlayAround,NTSC,1c8c42d1aee5010b30e7f1992d69216e,4K,,,,
Glacier Patrol,Telegames,NTSC,5e0c37f534ab5ccc4661768e2ddf0162,4K,,,,
Glib,Selchow & Righter,NTSC,2d9e5d8d083b6367eda880e80dfdfaeb,4K,,,,
GoFish_NTSC,,NTSC,787a2faebadc670a887a0e2483b8f034,F8,,,,
Golf,Atari,NTSC,2e663eaa0d6b723b645e643750b942fd,2K,,,,
Golf,Atari,NTSC,f542b5d0193a3959b54f3c4c803ba242,2K,,,,
Golf,Atari ,PAL,95351b46fa9c45471d852d28b9b4e00b,2K,,,,
Golf,Atari,NTSC,2e663eaa0d6b723b645e643750b942fd,2K,,,,
Gopher,U.S. Games,NTSC,c16c79aad6272baffb8aae9a7fff0864,4K,,,,
Gorf,CBS Electronics,NTSC,81b3bf17cf01039d311b4cd738ae608e,4K,,,,
Grand Prix,Activision,NTSC,de4436eaa41e5d7b7609512632b90078,F6,,,,
Gravitar,Atari,NTSC,8ac18076d01a6b63acf6e2cab4968940,F8,,,,
Asteroid Fire,Home Vision ,PAL,18f299edb5ba709a64c80c8c9cec24f2,4K,,,,
Gremlins,Atari,NTSC,01cb3e8dfab7203a9c62ba3b94b4e59f,F8,,,,
Grover's Music Maker,Atari ,NTSC,4ac9f40ddfcf194bd8732a75b3f2f214,F8,,,,
Guardian,Apollo,NTSC,7ab2f190d4e59e8742e76a6e870b567e,4K,,,,
Gunfight 2600,MP,NTSC,f750b5d613796963acecab1690f554ae,4K,,,,
Gyruss,Parker Bros,NTSC,b311ab95e85bc0162308390728a7361d,E0,E0,,,
H.E.R.O.,Activision,NTSC,fca4a5be1251927027f2c24774a02160,F8,,,,
Halloween,Wizard Video Games,NTSC,30516cfbaa1bc3b5335ee53ad811f17a,4K,,,,
Hangman,Atari,NTSC,f16c709df0a6c52f47ff52b9d95b7d8d,4K,,,,
Harbor Escape,Panda,NTSC,b9232c1de494875efe1858fc8390616d,4K,,,,
Haunted House,Atari,NTSC,f0a6e99f5875891246c3dbecbf2d2cea,4K,,,,
Hole Hunter,Video Game Cartridge,NTSC,3d48b8b586a09bdbf49f1a016bf4d29a,4K,,,,
